astid,name,price,vol24,chg1h,chg24h,chg7d,time
USDT,Tether,1.0004189094019411,19105624756.132088,0.016551254755314777,-1.570685354943537,-0.002748497460147403,2021-09-18T16:42:09
BTC,Bitcoin,48322.38398231501,5926948865.259421,-0.4103077000353732,1.412111321544399,5.184910482160656,2021-09-18T16:42:09
BUSD,Binance USD,1.002126111063407,4119798043.686326,0.21016009072094693,-1.4339417106858214,0.17429056448101257,2021-09-18T16:42:09
ETH,Ethereum,3460.6257927068523,3982623448.2375274,-0.5795143995142491,-0.164782912069451,3.7766130922323717,2021-09-18T16:42:09
SOL,Solana,162.06277904522977,2927525728.3770127,-1.1326094798452921,11.394713973474905,-14.185250674536217,2021-09-18T16:42:09
AVAX,Avalanche,70.34405083439242,1306912205.045614,-1.0777631949139217,4.877824005259427,33.199325379834654,2021-09-18T16:42:09
GALA,,0.12577934529374424,1150852976.291686,-2.7775782613608877,42.029376896414114,127.18502906417311,2021-09-18T16:42:09
DOT,Polkadot,34.92457087109896,840278287.7759874,-0.37689756873865754,0.7144713874805514,13.290880412451134,2021-09-18T16:42:09
ADA,Cardano,2.3802758566886792,820629060.5903991,-0.7532568016807706,-1.0739057080777261,-12.723154177588947,2021-09-18T16:42:09
ATOM,Cosmos,39.82303173981062,732903458.2462114,1.9864448337338771,15.218570161027797,42.077376525981045,2021-09-18T16:42:09
BNB,Binance Coin,413.2068576677772,653924896.3521357,-0.6929473508168575,-1.1359642283207552,-0.11752636798973691,2021-09-18T16:42:09
FIL,Filecoin,84.42043480346322,562957448.7226949,-0.6715750884276209,-1.7223265087210111,0.6383867392920706,2021-09-18T16:42:09
USDC,USD Coin,1.0003481597999542,462171283.4361348,0.040376595194377404,-1.434645713030415,0.11984726190230972,2021-09-18T16:42:09
LUNA,Terra,35.399752442752224,429229484.34202653,-0.8566906043377345,-1.1262461673829323,-9.657997180977056,2021-09-18T16:42:09
EOS,EOS,5.3803432087647165,411614698.15511143,0.6933396916059552,-1.7510840758974737,12.799000083164735,2021-09-18T16:42:09
XRP,Ripple,1.0803379105421183,398833979.61823034,-0.39700855885995767,-0.7239526329888688,-1.893622150935499,2021-09-18T16:42:09
MATIC,Matic Network,1.370164044122437,397591654.5894364,-0.7367980490566185,-0.31234877699822644,0.8856443560945457,2021-09-18T16:42:09
ALGO,Algorand,2.0365600350893507,371487159.6668746,0.05833620453396897,1.2432754837092683,-1.9595260945626636,2021-09-18T16:42:09
SUSHI,SushiSwap,12.868149011712976,367679301.0323624,-0.47166827740140876,-4.121129045451447,19.796354177324854,2021-09-18T16:42:09
LINK,Chainlink,28.493090840718754,362691283.4360065,-1.0771830779572857,-1.4856539618610354,3.404750343706263,2021-09-18T16:42:09
SHIB,,7.921475499340957e-06,336241419.47218835,-0.6432625424028295,-10.238237967807857,14.48024901359726,2021-09-18T16:42:09
DYDX,,15.562025513409706,319776033.8759965,-2.017152241498096,-4.548234380510676,42.90377761737202,2021-09-18T16:42:09
DOGE,Dogecoin,0.24167215384391724,319039611.8524073,-0.4388562099115736,-2.1669529761618955,-1.9080653816658453,2021-09-18T16:42:09
FTM,Fantom,1.3313380023667623,305536539.20720243,-1.2293695220457672,1.0928345269376598,-17.870892713749633,2021-09-18T16:42:09
FTT,FTX Token,63.80364039928761,301999994.44042116,-2.0279987032142106,-2.0521392245767642,-14.90400654738987,2021-09-18T16:42:09
TRX,Tron,0.10577293720552822,294745926.8580751,-1.0474110693031347,-2.860759362520934,10.766129374427837,2021-09-18T16:42:09
FOR,The Force Protocol,0.11145407984592426,278983679.86304444,-0.6852436357312627,-20.903545325797584,77.40109378577904,2021-09-18T16:42:09
XTZ,Trezos,6.584935121935308,278045547.1533367,-1.0821254231999256,3.7729146508268774,2.0478915650285945,2021-09-18T16:42:09
LTC,Litecoin,181.23729626108855,248852534.6354998,-0.5344243991734535,-1.4690301222595306,-2.0669675583469638,2021-09-18T16:42:09
XBT,,48345.19004440407,205423038.58258265,-0.38791765742382855,1.456058640829754,5.217548249475093,2021-09-18T16:42:09
COTI,Coti,0.4410160561603565,197015648.64849415,-0.520762179728059,15.377016378350413,40.136029336857774,2021-09-18T16:42:09
ICP,,58.689542398028465,182437190.24858633,-2.211648811362814,1.808703379567977,-3.0966893698633595,2021-09-18T16:42:09
IDEX,,0.5008625538283287,178423740.9321749,9.023358445836864,13.211398205262913,-16.378269834330876,2021-09-18T16:42:09
NFT,,3.984312303469978e-06,161331228.7512015,-0.7758239298461833,-3.4188977276320633,2.1555591538530616,2021-09-18T16:42:09
CRV,Curve DAO Token,2.826170611689643,159851299.6283599,-1.5807046077833329,-9.997318389684603,24.961926782441328,2021-09-18T16:42:09
C98,,3.982006737498184,158537336.86459836,-1.4116855404535504,6.915791082087153,3.073453354416317,2021-09-18T16:42:09
CELR,Celer Network,0.11425746777725616,152338795.0356615,-0.6366428671507879,1.166617170402352,70.87034779843444,2021-09-18T16:42:09
SRM,Serum,10.333595075509498,148210309.1356845,0.20092922343556632,3.635851345323708,-16.758722996927506,2021-09-18T16:42:09
UST,TerraUSD,0.9996366483156328,139920703.74740866,0.015295068344105205,-1.3717756865887447,-0.025793446022114717,2021-09-18T16:42:09
SWRV,,1.3735357594791389,139189137.7460006,-4.66156983979461,25.566102411732345,5.419627030808008,2021-09-18T16:42:09
IOTA,MIOTA,1.6413178048942187,136287933.5346779,-0.8650688121315152,-3.277883689735883,6.433285582264048,2021-09-18T16:42:09
HBAR,Hedera Hashgraph,0.43689241411264607,135667609.72263312,-1.1818010174297444,-3.2579703502845327,14.667871916074985,2021-09-18T16:42:09
ELF,Aelf,0.9347582603449643,124709482.26076517,-1.2855628953629672,-12.411364812229312,11.480760402714449,2021-09-18T16:42:09
NEAR,NEAR Protocol,9.244861671572949,121975866.82930614,3.434405529596856,7.3349407273743825,-0.2731511952429868,2021-09-18T16:42:09
ONE,Harmony,0.16914298948672932,121368845.34778792,-1.4658197015839904,4.340905614805355,-11.957928874518146,2021-09-18T16:42:09
FET,Fetch.AI,0.8506601024597896,121099804.10013983,-1.2171737343064986,-3.0866429507989066,-8.980504979973066,2021-09-18T16:42:09
SUN,SUN,0.03806674070119264,115771384.7079885,-1.691843379703301,-7.914356650491268,18.352060965404775,2021-09-18T16:42:09
AAVE,Aave,356.67230570952387,105754529.59876856,-0.9463746263919959,-4.120761290527257,5.306870862072445,2021-09-18T16:42:09
BCH,Bitcoin Cash,629.3634123456183,103633995.21213922,-0.3032950200314404,-1.3089832490445652,-2.7295439832822415,2021-09-18T16:42:09
BTT,BitTorrent,0.003936477213294499,102246800.80822256,-0.6248502130853075,-2.1900599237611584,-0.7347850513378515,2021-09-18T16:42:09
VIDT,,1.0251523446575317,97228035.00234804,0.7267359040630699,15.691383234054898,-6.153590136448687,2021-09-18T16:42:09
CAKE,PancakeSwap,22.396279347031964,97140238.95919271,-1.0270976607101188,1.4288769519106272,11.890056898252459,2021-09-18T16:42:09
ETC,Ethereum Classic,57.29899382502232,93700435.30091584,-0.5209712576953487,-1.307476113005856,-1.35678163911766,2021-09-18T16:42:09
UNI,Uniswap,24.413477764250825,93104893.8673666,-1.0287948247164678,-3.2097455569109012,2.768207122524647,2021-09-18T16:42:09
EGLD,Elrond,241.0878849825159,92312680.21027413,-0.272452879012411,-5.607988341751783,4.825726929962394,2021-09-18T16:42:09
VET,Ve Chain,0.1128097892528024,91155713.61137562,-0.7104533237704566,-2.6212482292731587,-4.54149502960698,2021-09-18T16:42:09
SNX,Synthetix Network Token,12.861638572974377,81934403.29884624,-1.5523373015009228,-4.287301558707566,16.630283262485563,2021-09-18T16:42:09
REN,Ren,0.9798212910385848,79983314.84155975,-0.23777249130671452,2.4169899940622153,34.649625364396776,2021-09-18T16:42:09
XLM,Stellar,0.32322165299521394,79036690.54277436,-0.6675642965878856,-1.0977797300747214,-2.3865317959355736,2021-09-18T16:42:09
MBOX,,6.296795164493326,78515099.83036774,-3.8256757614280246,5.21183765668732,14.775787423854563,2021-09-18T16:42:09
THETA,Theta,6.375589236250121,77211213.19633369,-1.150826893271757,-1.5486427591762646,-3.9032170240204396,2021-09-18T16:42:09
AXS,Axie Infinity,66.29594519854095,75693018.11286353,-0.6305367392266834,-1.7960059851482735,-5.087082216630286,2021-09-18T16:42:09
NMR,Numeraire,47.61119156132337,74721600.21667613,-1.8256903330713083,8.85392635923914,0.31593136881705797,2021-09-18T16:42:09
JST,JUST,0.08988655800419414,68405957.06176244,-1.50010916894534,-2.6142652770055292,9.00029436994042,2021-09-18T16:42:09
SLP,,0.08173127809529447,66230099.786608666,-0.8945209887558555,-1.689225999706091,-10.568467753680274,2021-09-18T16:42:09
RUNE,THORChain,10.001499941166985,64537386.68043151,-1.4989648373856226,-0.11275713783348601,10.653624129252679,2021-09-18T16:42:09
OMG,OMG Network,8.699871157577046,63890444.692465596,-0.06869574134353615,1.0759656352689235,-4.175509458396564,2021-09-18T16:42:09
