astid,name,price,vol24,chg1h,chg24h,chg7d,time
USDT,Tether,1.0002022060308333,19161148405.46725,-0.02230395451753204,-1.143741355348886,-0.0024095419859372093,2021-09-18T18:00:09
BTC,Bitcoin,48373.322719624375,5955024982.042756,0.21088459955920838,2.299350238703751,6.029087521838411,2021-09-18T18:00:09
BUSD,Binance USD,1.0005530192317202,4144665170.4903026,-0.023298507241039865,-0.3620920657366483,0.04039864274945244,2021-09-18T18:01:09
ETH,Ethereum,3453.1537141327694,3971305496.153712,0.20464093527507665,1.2609304341947454,4.231538465026427,2021-09-18T18:01:09
SOL,Solana,163.73006113853756,2941674897.1926384,1.2874886658160607,16.040053167171305,-12.394154371666872,2021-09-18T18:01:09
AVAX,Avalanche,70.36922581382748,1289832338.604135,0.3381848486203795,9.188349317129116,30.431704166950524,2021-09-18T18:01:09
GALA,,0.11842659251176597,1108388492.3037598,-6.671158043734975,31.865131976301058,113.90434811791525,2021-09-18T18:01:09
DOT,Polkadot,35.0141646336189,849127820.8453659,0.6591210374909254,3.410587189768594,12.27055352796283,2021-09-18T18:01:09
ADA,Cardano,2.3804118341803497,840336992.0985769,0.2478028487718537,0.7446854011241544,-12.405860005610133,2021-09-18T18:01:09
ATOM,Cosmos,38.853985516218536,750464369.0815691,-1.2302939858787232,15.04616149005345,39.28621207632788,2021-09-18T18:01:09
BNB,Binance Coin,413.4816108937341,654105504.0806459,0.16072636439219226,0.43117482484562614,0.33698433361465885,2021-09-18T18:01:09
FIL,Filecoin,84.37198615202257,548987761.9081059,0.2910489731797819,0.7482299446195759,1.2886592298509703,2021-09-18T18:01:09
USDC,USD Coin,1.0002579246146943,458436998.0777912,-0.023207461853017,-0.2866759108725804,-0.006375720320123574,2021-09-18T18:01:09
LUNA,Terra,35.17792487407219,419576192.92646056,0.05948456895256543,0.3649847193664731,-7.857779850541313,2021-09-18T18:01:09
ALGO,Algorand,2.083873757162786,411675288.4031448,0.7524467651162702,7.7064772564967114,-0.7240074478175751,2021-09-18T18:01:09
EOS,EOS,5.404269920391396,404181485.63715196,0.0830486836289443,1.5595501946950223,14.204844885873241,2021-09-18T18:01:09
MATIC,Matic Network,1.373000386892831,394457632.6730152,0.7167430045376978,0.9291776735039864,2.566325666380205,2021-09-18T18:01:09
XRP,Ripple,1.0801909629226705,391422141.51968217,0.14072903297063577,0.8445297880417466,-1.4958391396316368,2021-09-18T18:01:09
LINK,Chainlink,28.61002098397106,373464857.2934204,0.5616870925734869,1.1831063655502083,4.848469747652414,2021-09-18T18:01:09
SUSHI,SushiSwap,12.864626592799548,355402217.60293984,0.5451290307425241,-2.383884349580868,19.227616875026403,2021-09-18T18:01:09
DOGE,Dogecoin,0.24153243328479232,315607762.70825773,0.26395868495739205,-0.11843022719469486,-1.2832378154594146,2021-09-18T18:01:09
FTT,FTX Token,63.90328780422828,312258144.3589671,0.3588059894387834,1.1787438492688385,-13.691211753375338,2021-09-18T18:01:09
DYDX,,15.900201843437515,311748015.2071087,1.2604850515719648,1.6856965806172217,44.836258289184954,2021-09-18T18:01:09
SHIB,,7.940175329323925e-06,310092999.7654463,0.31544007154968157,-5.361438267891228,14.291336666620975,2021-09-18T18:01:09
FTM,Fantom,1.333102509713418,306876837.8481726,0.2791319911894266,3.4992973491517523,-17.42641521248267,2021-09-18T18:01:09
XTZ,Trezos,6.558821678588562,282807157.3075979,0.6762621136230662,4.4733724210791745,0.19449705817905635,2021-09-18T18:01:09
TRX,Tron,0.10606180183117143,274406595.6926074,0.20338362374250993,0.18642958535986928,11.70102728921224,2021-09-18T18:01:09
LTC,Litecoin,181.25439616819114,249000257.51851544,0.1554771311342101,0.3292404805315693,-1.085383925472445,2021-09-18T18:01:09
FOR,The Force Protocol,0.10916270539255468,231849613.4998533,-1.965564550564943,-14.188472467945875,74.26681035293277,2021-09-18T18:01:09
XBT,,48273.03814946023,203059262.94238585,-0.06378119983762054,2.18650342220788,5.79300032691991,2021-09-18T18:01:09
COTI,Coti,0.4270516044239037,194824596.14616558,-1.4035191340312743,12.527902221988779,38.106841615003226,2021-09-18T18:01:09
IDEX,,0.4735047241244035,189226669.3892827,-3.242612427025481,10.173660328976386,-22.182649762643898,2021-09-18T18:01:09
CFX,,0.4778684033708679,187208396.19243407,41.476715856875906,87.9554735676677,71.64332694715922,2021-09-18T18:01:09
ICP,,58.8775438215029,183577007.9404956,0.18877676054367343,4.739298890024286,-0.8498253111851629,2021-09-18T18:01:09
C98,,4.018919144294464,164232404.09130386,0.45967419223173983,9.7601277994807,5.141590162578571,2021-09-18T18:01:09
NFT,,3.979475811029771e-06,163760333.52419907,0.13088142534750996,-0.8283299315132411,1.2120660629918623,2021-09-18T18:01:09
CRV,Curve DAO Token,2.8296361165698887,161603055.03383964,0.528054347369659,-7.784710454633456,26.00455858568511,2021-09-18T18:01:09
SRM,Serum,10.482986950638278,158776877.19487894,0.866248731812627,8.297848909806502,-16.55756907263144,2021-09-18T18:01:09
CELR,Celer Network,0.1154424116756259,155240462.20111504,1.1691457816646176,5.69995108138135,71.3878330486188,2021-09-18T18:01:09
UST,TerraUSD,0.999683011332849,138024778.13036302,-0.05605731026466766,-0.48641539532647227,-0.09193965954278548,2021-09-18T18:01:09
SWRV,,1.3292397381910859,137197232.50541198,-2.9038828051304653,22.566914005587886,6.520130181827212,2021-09-18T18:01:09
NEAR,NEAR Protocol,9.18545680710295,136608094.71618494,-2.066823419460193,10.077649175666172,1.644285717914469,2021-09-18T18:01:09
